id,Cats,Dogs,No data,None
5668640009,1,0,0,0
5668639818,1,1,0,0
5668639686,0,0,0,1
5668639659,1,1,0,0
5668639374,1,1,0,0
5668639368,1,1,0,0
5668638765,0,0,0,1
5668638578,1,1,0,0
5668638476,0,1,0,0
5668638122,0,0,0,1
5668638015,0,0,0,1
5668637998,0,0,0,1
5668637809,0,0,0,1
5668637541,0,0,0,1
5668637528,0,0,0,1
5668636381,1,1,0,0
5668636291,1,1,0,0
5668635018,1,1,0,0
5668634255,1,1,0,0
5668633909,1,1,0,0
5668632975,1,1,0,0
5668632369,0,0,0,1
5668632002,0,0,0,1
5668631854,0,0,0,1
5668631790,0,0,0,1
5668631784,0,0,0,1
5668631302,0,0,0,1
5668630952,0,0,0,1
5668630836,1,1,0,0
5668630485,0,0,0,1
5668630356,1,1,0,0
5668630131,0,0,0,1
5668630089,0,0,0,1
5668629888,1,1,0,0
5668629745,1,1,0,0
5668628689,1,1,0,0
5668628058,1,1,0,0
5668627517,1,1,0,0
5668627160,0,0,0,1
5668627095,0,0,0,1
5668627084,0,0,0,1
5668627015,0,0,0,1
5668626906,0,0,0,1
5668626824,1,1,0,0
5668625752,0,0,0,1
5668625536,1,1,0,0
5668625042,1,1,0,0
5668624921,1,1,0,0
5668624600,1,1,0,0
5668624330,1,1,0,0
5668624245,1,1,0,0
5668624242,1,0,0,0
5668623348,1,1,0,0
5668622646,0,0,0,1
5668622445,1,1,0,0
5668622093,1,1,0,0
5668621164,1,1,0,0
5668620432,1,1,0,0
5668619160,1,1,0,0
5668618357,1,1,0,0
5668617043,0,0,0,1
5668615317,1,1,0,0
5668615207,1,1,0,0
5668615006,1,1,0,0
5668614703,1,1,0,0
5668614467,1,1,0,0
5668613564,0,0,0,1
5668612602,1,1,0,0
5668611315,1,1,0,0
5668610263,1,1,0,0
5668609452,1,1,0,0
5668640290,1,1,0,0
5668639731,1,1,0,0
5668639274,1,1,0,0
5668638948,0,0,0,1
5668638780,1,1,0,0
5668638665,0,0,0,1
5668638448,1,1,0,0
5668637790,1,1,0,0
5668637724,0,0,0,1
5668637644,0,0,0,1
5668637165,1,1,0,0
5668636298,1,1,0,0
5668636211,1,1,0,0
5668636001,0,0,0,1
5668635826,0,0,0,1
5668635738,0,0,0,1
5668635266,0,0,0,1
5668634764,0,0,0,1
5668634577,0,0,0,1
5668634488,0,0,0,1
5668634340,0,0,0,1
5668634074,1,1,0,0
5668633861,0,0,0,1
5668633833,1,1,0,0
5668633801,1,1,0,0
5668632658,1,1,0,0
5668632537,0,0,0,1
5668632393,0,0,0,1
5668632355,0,0,0,1
5668631771,0,0,0,1
5668630592,0,0,0,1
5668629731,0,0,0,1
5668629383,1,1,0,0
5668627573,1,1,0,0
5668627555,1,1,0,0
5668627070,1,1,0,0
5668626983,0,1,0,0
5668626966,1,1,0,0
5668626795,1,1,0,0
5668625154,1,1,0,0
5668624263,1,1,0,0
5668623892,0,0,0,1
5668623884,0,0,0,1
5668622224,1,1,0,0
5668622069,1,1,0,0
5668620244,1,1,0,0
5668619348,1,1,0,0
5668619216,0,0,0,1
5668618416,0,0,0,1
5668617140,1,1,0,0
5668617005,0,0,0,1
5668616966,1,1,0,0
5668616749,1,1,0,0
5668616618,1,1,0,0
5668615971,0,0,0,1
5668615295,1,1,0,0
5668615201,1,1,0,0
5668614448,1,0,0,0
5668614383,0,0,0,1
5668613618,1,1,0,0
5668613578,1,1,0,0
5668613466,1,1,0,0
5668612874,1,1,0,0
5668612750,1,0,0,0
5668612739,1,1,0,0
5668612715,1,1,0,0
5668612700,1,1,0,0
5668612647,1,1,0,0
5668612044,1,1,0,0
5668612030,1,1,0,0
5668611689,1,0,0,0
5668611090,1,1,0,0
5668609530,1,1,0,0
5668609491,1,1,0,0
5668609277,1,1,0,0
5668609146,1,1,0,0
5668639419,0,1,0,0
5668639298,1,1,0,0
5668639212,1,1,0,0
5668639058,0,1,0,0
5668639039,1,1,0,0
5668638910,0,0,0,1
5668638650,1,0,0,0
5668638375,1,1,0,0
5668638119,0,0,0,1
5668638112,1,1,0,0
5668637566,1,1,0,0
5668636995,1,1,0,0
5668636856,1,1,0,0
5668636750,1,1,0,0
5668636607,0,0,0,1
5668636475,1,1,0,0
5668635638,0,0,0,1
5668635550,1,1,0,0
5668634751,1,1,0,0
5668634610,1,1,0,0
5668634483,1,1,0,0
5668634086,1,1,0,0
5668633803,1,1,0,0
5668633317,1,1,0,0
5668632742,0,0,0,1
5668632460,0,0,0,1
5668631794,0,0,0,1
5668631644,0,0,0,1
5668630796,0,0,0,1
5668630679,1,1,0,0
5668630600,0,0,0,1
5668630436,1,1,0,0
5668630425,1,1,0,0
5668629810,1,1,0,0
5668629442,1,1,0,0
5668629302,0,0,0,1
5668628860,1,1,0,0
5668628751,1,1,0,0
5668627875,0,0,0,1
5668627833,0,0,0,1
5668627707,1,1,0,0
5668627413,1,1,0,0
5668627357,1,0,0,0
5668626831,1,1,0,0
5668626745,0,0,0,1
5668626656,1,1,0,0
5668626326,0,0,0,1
5668626140,0,0,0,1
5668625273,1,0,0,0
5668623688,1,1,0,0
5668622898,1,1,0,0
5668622699,1,1,0,0
5668622549,0,0,0,1
5668622530,0,0,0,1
5668622311,1,1,0,0
5668622103,1,1,0,0
5668621582,0,0,0,1
5668620392,0,0,0,1
5668619707,1,0,0,0
5668619505,1,1,0,0
5668618499,1,1,0,0
5668618420,0,0,0,1
5668618400,1,1,0,0
5668617849,0,0,0,1
5668617594,1,1,0,0
5668617224,1,1,0,0
5668617089,1,1,0,0
5668616952,1,1,0,0
5668615889,1,1,0,0
5668615727,1,1,0,0
5668615712,0,0,0,1
5668615657,0,0,0,1
5668615287,1,1,0,0
5668615079,1,1,0,0
5668615050,1,1,0,0
5668615042,1,1,0,0
5668613102,1,1,0,0
5668612839,1,1,0,0
5668611837,1,1,0,0
5668610819,1,1,0,0
5668610290,0,0,0,1
5668609932,1,1,0,0
5668609804,1,0,0,0
5668609432,1,1,0,0
5668639932,1,1,0,0
5668639857,1,1,0,0
5668639295,0,0,0,1
5668638878,1,1,0,0
5668638706,1,1,0,0
5668638701,0,0,0,1
5668638221,0,1,0,0
5668637979,1,1,0,0
5668637850,1,1,0,0
5668637461,1,1,0,0
5668636489,1,1,0,0
5668636412,1,1,0,0
5668636268,0,0,0,1
5668635800,0,0,0,1
5668635544,1,0,0,0
5668635230,1,1,0,0
5668635199,1,1,0,0
5668635171,1,1,0,0
5668634545,1,1,0,0
5668634326,0,0,0,1
5668634079,0,0,0,1
5668633997,0,0,0,1
5668633878,1,1,0,0
5668633806,1,1,0,0
5668633743,1,1,0,0
5668633431,1,1,0,0
5668633273,1,1,0,0
5668633090,0,0,0,1
5668633042,1,1,0,0
5668632903,1,1,0,0
5668632876,1,1,0,0
5668632735,1,1,0,0
5668632576,0,0,0,1
5668632573,0,0,0,1
5668631890,0,0,0,1
5668631816,0,0,0,1
5668631756,0,0,0,1
5668631401,0,0,0,1
5668631084,0,0,0,1
5668630973,0,0,0,1
5668630304,1,1,0,0
5668630232,0,0,0,1
5668630178,1,1,0,0
5668630058,0,0,0,1
5668629987,0,0,0,1
5668629747,1,1,0,0
5668629708,1,1,0,0
5668629307,1,1,0,0
5668629210,1,1,0,0
5668628995,1,1,0,0
5668628971,1,1,0,0
5668628388,1,0,0,0
5668628306,1,1,0,0
5668628082,0,0,0,1
5668627844,1,1,0,0
5668627685,1,1,0,0
5668627548,1,1,0,0
5668627277,1,1,0,0
5668627192,1,1,0,0
